UF	CITY	POPULATION
MG	São José do Mantimento	2472
MG	São Lourenço	40441
MG	São Miguel do Anta	6820
MG	São Pedro da União	5291
MG	São Pedro do Suaçuí	5801
MG	São Pedro dos Ferros	8880
MG	São Romão	9080
MG	São Roque de Minas	6141
MG	São Sebastião da Bela Vista	4884
MG	São Sebastião da Vargem Alegre	2743
MG	São Sebastião do Anta	5388
MG	São Sebastião do Maranhão	11686
MG	São Sebastião do Oeste	5336
MG	São Sebastião do Paraíso	61838
MG	São Sebastião do Rio Preto	1700
MG	São Sebastião do Rio Verde	2170
MG	São Thomé das Letras	6617
MG	São Tiago	10289
MG	São Tomás de Aquino	6934
MG	São Vicente de Minas	6283
MG	Sapucaí-Mirim	5772
MG	Sardoá	5196
MG	Sarzedo	23282
MG	Sem-Peixe	2950
MG	Senador Amaral	5051
MG	Senador Cortes	2011
MG	Senador Firmino	7019
MG	Senador José Bento	1908
MG	Senador Modestino Gonçalves	4988
MG	Senhora de Oliveira	5675
MG	Senhora do Porto	3517
MG	Senhora dos Remédios	10201
MG	Sericita	7083
MG	Seritinga	1755
MG	Serra Azul de Minas	4307
MG	Serra da Saudade	863
MG	Serra do Salitre	10224
MG	Serra dos Aimorés	8345
MG	Serrania	7370
MG	Serranópolis de Minas	4515
MG	Serranos	2063
MG	Serro	20862
MG	Sete Lagoas	217506
MG	Setubinha	10834
MG	Silveirânia	2125
MG	Silvianópolis	6018
MG	Simão Pereira	2503
MG	Simonésia	17257
MG	Sobrália	5990
MG	Soledade de Minas	5518
MG	Tabuleiro	4061
MG	Taiobeiras	29732
MG	Taparuba	3243
MG	Tapira	3575
MG	Tapiraí	1841
MG	Taquaraçu de Minas	3757
MG	Tarumirim	14185
MG	Teixeiras	11665
MG	Teófilo Otoni	126895
MG	Timóteo	76092
MG	Tiradentes	6547
MG	Tiros	7416
MG	Tocantins	15704
MG	Tocos do Moji	3926
MG	Toledo	5720
MG	Tombos	9194
MG	Três Corações	71737
MG	Três Marias	26431
MG	Três Pontas	52121
MG	Tumiritinga	5964
MG	Tupaciguara	23076
MG	Turmalina	17219
MG	Turvolândia	4737
MG	Ubá	94228
MG	Ubaí	11834
MG	Ubaporanga	12060
MG	Uberaba	287760
MG	Uberlândia	608369
MG	Umburatiba	2776
MG	Unaí	74495
MG	União de Minas	4593
MG	Uruana de Minas	2777
MG	Urucânia	10203
MG	Urucuia	11376
MG	Vargem Alegre	6594
MG	Vargem Bonita	2098
MG	Vargem Grande do Rio Pardo	4703
MG	Varginha	116093
MG	Varjão de Minas	5993
MG	Várzea da Palma	34448
MG	Varzelândia	19137
MG	Vazante	19300
MG	Verdelândia	8029
MG	Veredinha	5732
MG	Veríssimo	3667
MG	Vermelho Novo	4551
MG	Vespasiano	94191
MG	Viçosa	70404
MG	Vieiras	3808
MG	Virgem da Lapa	14103
MG	Virgínia	8351
MG	Virginópolis	10891
MG	Virgolândia	5724
MG	Visconde do Rio Branco	35346
MG	Volta Grande	5166
MG	Wenceslau Braz	2509
ES	Afonso Cláudio	30773
ES	Água Doce do Norte	11934
ES	Águia Branca	9281
ES	Alegre	30473
ES	Alfredo Chaves	13983
ES	Alto Rio Novo	6198
ES	Anchieta	19459
ES	Apiacá	7617
ES	Aracruz	73358
ES	Atilio Vivacqua	8878
ES	Baixo Guandu	28637
ES	Barra de São Francisco	39627
ES	Boa Esperança	12912
ES	Bom Jesus do Norte	9318
ES	Brejetuba	10949
ES	Cachoeiro de Itapemirim	195288
ES	Cariacica	356536
ES	Castelo	32250
ES	Colatina	106637
ES	Conceição da Barra	26230
ES	Conceição do Castelo	11326
ES	Divino de São Lourenço	4837
ES	Domingos Martins	31175
ES	Dores do Rio Preto	6106
ES	Ecoporanga	23296
ES	Fundão	15209
ES	Governador Lindenberg	9890
ES	Guaçuí	25761
ES	Guarapari	98073
ES	Ibatiba	19649
ES	Ibiraçu	10312
ES	Ibitirama	8994
ES	Iconha	11496
ES	Irupi	10369
ES	Itaguaçu	13881
ES	Itapemirim	30833
ES	Itarana	10569
ES	Iúna	25533
ES	Jaguaré	21949
ES	Jerônimo Monteiro	10701
ES	João Neiva	14403
ES	Laranja da Terra	10802
ES	Linhares	124564
ES	Mantenópolis	11463
ES	Marataízes	31221
ES	Marechal Floriano	12699
ES	Marilândia	10226
ES	Mimoso do Sul	26208
ES	Montanha	17998
ES	Mucurici	5755
ES	Muniz Freire	18196
ES	Muqui	13841
ES	Nova Venécia	44380
ES	Pancas	18465
ES	Pedro Canário	23204
ES	Pinheiros	22663
ES	Piúma	16249
ES	Ponto Belo	6831
ES	Presidente Kennedy	10307
ES	Rio Bananal	16587
ES	Rio Novo do Sul	11111
ES	Santa Leopoldina	12349
ES	Santa Maria de Jetibá	31845
ES	Santa Teresa	20179
ES	São Domingos do Norte	7840
ES	São Gabriel da Palha	28878
ES	São José do Calçado	10570
ES	São Mateus	96390
ES	São Roque do Canaã	10439
ES	Serra	385370
ES	Sooretama	21867
ES	Vargem Alta	17862
ES	Venda Nova do Imigrante	18610
ES	Viana	57539
ES	Vila Pavão	8705
ES	Vila Valério	13646
ES	Vila Velha	398068
ES	Vitória	314042
RJ	Angra dos Reis	148476
RJ	Aperibé	8820
RJ	Araruama	98268
RJ	Areal	11009
RJ	Armação dos Búzios	24560
RJ	Arraial do Cabo	25248
RJ	Barra do Piraí	96282
RJ	Barra Mansa	175315
RJ	Belford Roxo	480555
RJ	Bom Jardim	24626
RJ	Bom Jesus do Itabapoana	33888
RJ	Cabo Frio	162229
RJ	Cachoeiras de Macacu	53037
RJ	Cambuci	14368
RJ	Campos dos Goytacazes	426154
RJ	Cantagalo	19799
RJ	Carapebus	10677
RJ	Cardoso Moreira	12206
RJ	Carmo	16690
RJ	Casimiro de Abreu	27086
RJ	Comendador Levy Gasparian	8322
RJ	Conceição de Macabu	19479
RJ	Cordeiro	18984
RJ	Duas Barras	10438
RJ	Duque de Caxias	842686
RJ	Engenheiro Paulo de Frontin	12544
RJ	Guapimirim	44692
RJ	Iguaba Grande	19716
RJ	Itaboraí	215792
RJ	Itaguaí	95356
RJ	Italva	13645
RJ	Itaocara	22069
RJ	Itaperuna	92852
RJ	Itatiaia	31185
RJ	Japeri	93197
RJ	Laje do Muriaé	7769
RJ	Macaé	169513
RJ	Macuco	5246
RJ	Magé	232171
RJ	Mangaratiba	29253
RJ	Maricá	105294
RJ	Mendes	17242
RJ	Mesquita	182495
RJ	Miguel Pereira	24585
RJ	Miracema	26231
RJ	Natividade	14930
RJ	Nilópolis	153581
RJ	Niterói	474002
RJ	Nova Friburgo	177376
RJ	Nova Iguaçu	830672
RJ	Paracambi	42423
RJ	Paraíba do Sul	39257
RJ	Parati	32838
RJ	Paty do Alferes	25132
RJ	Petrópolis	306645
RJ	Pinheiral	20885
RJ	Piraí	24170
RJ	Porciúncula	17178
RJ	Porto Real	14503
RJ	Quatis	12031
RJ	Queimados	130275
RJ	Quissamã	17376
RJ	Resende	118547
RJ	Rio Bonito	51942
RJ	Rio Claro	17216
RJ	Rio das Flores	8192
RJ	Rio das Ostras	74750
RJ	Rio de Janeiro	6093472
RJ	Santa Maria Madalena	10409
RJ	Santo Antônio de Pádua	40145
RJ	São Fidélis	37477
RJ	São Francisco de Itabapoana	44549
RJ	São Gonçalo	960631
RJ	São João da Barra	28889
RJ	São João de Meriti	464282
RJ	São José de Ubá	6829
RJ	São José do Vale do Rio Preto	19439
RJ	São Pedro da Aldeia	75869
RJ	São Sebastião do Alto	8616
RJ	Sapucaia	16858
RJ	Saquarema	62174
RJ	Seropédica	72466
RJ	Silva Jardim	21362
RJ	Sumidouro	14562
RJ	Tanguá	28322
RJ	Teresópolis	150268
RJ	Trajano de Morais	9706
RJ	Três Rios	72848
RJ	Valença	70850
RJ	Varre-Sai	8309
RJ	Vassouras	32495
RJ	Volta Redonda	255653
SP	Adamantina	33289
SP	Adolfo	3609
SP	Aguaí	30181
SP	Águas da Prata	7367
SP	Águas de Lindóia	15867
SP	Águas de Santa Bárbara	5360
SP	Águas de São Pedro	2340
SP	Agudos	34221
SP	Alambari	4070
SP	Alfredo Marcondes	3851
SP	Altair	3272
SP	Altinópolis	15139
SP	Alto Alegre	4157
SP	Alumínio	15678
SP	Álvares Florence	3902
SP	Álvares Machado	22859
SP	Álvaro de Carvalho	4610
SP	Alvinlândia	2787
SP	Americana	199094
SP	Américo Brasiliense	31005
SP	Américo de Campos	5379
SP	Amparo	62692
SP	Analândia	4166
SP	Andradina	54753
SP	Angatuba	21523
SP	Anhembi	5271
SP	Anhumas	3695
SP	Aparecida	35903
SP	Aparecida d'Oeste	4577
SP	Apiaí	25463
SP	Araçariguama	12291
SP	Araçatuba	178839
SP	Araçoiaba da Serra	24022
SP	Aramina	5019
SP	Arandu	6013
SP	Arapeí	2527
SP	Araraquara	195815
SP	Araras	108689
SP	Arco-Íris	2003
SP	Arealva	7504
SP	Areias	3571
SP	Areiópolis	10630
SP	Ariranha	8255
SP	Artur Nogueira	39457
SP	Arujá	72713
SP	Aspásia	1790
SP	Assis	92965
SP	Atibaia	119166
SP	Auriflama	13760
SP	Avaí	4877
SP	Avanhandava	10875
SP	Avaré	80026
SP	Bady Bassitt	13039
SP	Balbinos	3619
SP	Bálsamo	7767
SP	Bananal	10233
SP	Barão de Antonina	2751
SP	Barbosa	6454
SP	Bariri	30995
SP	Barra Bonita	35090
SP	Barra do Chapéu	5077
SP	Barra do Turvo	7620
SP	Barretos	107988
SP	Barrinha	25715
SP	Barueri	252748
SP	Bastos	20613
SP	Batatais	53525
SP	Bauru	347601
SP	Bebedouro	74865
SP	Bento de Abreu	2740
SP	Bernardino de Campos	10487
SP	Bertioga	39091
SP	Bilac	6905
SP	Birigui	103394
SP	Biritiba-Mirim	27483
SP	Boa Esperança do Sul	13208
SP	Bocaina	10299
SP	Bofete	8565
SP	Boituva	40783
SP	Bom Jesus dos Perdões	16211
SP	Bom Sucesso de Itararé	3658
SP	Borá	804
SP	Boracéia	4128
SP	Borborema	13752
SP	Borebi	2172
SP	Botucatu	120800
SP	Bragança Paulista	136286
SP	Braúna	4728
SP	Brejo Alegre	2432
SP	Brodowski	19018
SP	Brotas	20996
SP	Buri	17539
SP	Buritama	14735
SP	Buritizal	3872
SP	Cabrália Paulista	4340
SP	Cabreúva	38898
SP	Caçapava	80458
SP	Cachoeira Paulista	31674
SP	Caconde	18552
SP	Cafelândia	16073
SP	Caiabu	4011
SP	Caieiras	81163
SP	Caiuá	4953
SP	Cajamar	58436
SP	Cajati	28285
SP	Cajobi	9519
SP	Cajuru	22695
SP	Campina do Monte Alegre	5320
SP	Campinas	1039297
SP	Campo Limpo Paulista	69810
SP	Campos do Jordão	44688
SP	Campos Novos Paulista	4651
SP	Cananéia	12039
SP	Canas	4318
SP	Cândido Mota	29572
SP	Cândido Rodrigues	2655
SP	Canitar	4265
SP	Capão Bonito	45275
SP	Capela do Alto	15950
SP	Capivari	43779
SP	Caraguatatuba	88815
SP	Carapicuíba	379566
SP	Cardoso	11324
SP	Casa Branca	27081
SP	Cássia dos Coqueiros	2706
SP	Castilho	15410
SP	Catanduva	109362
SP	Catiguá	6870
SP	Cedral	7607
SP	Cerqueira César	16276
SP	Cerquilho	34769
SP	Cesário Lange	14005
SP	Charqueada	14356
SP	Chavantes	12226
SP	Clementina	6081
SP	Colina	16989
SP	Colômbia	6073
SP	Conchal	23352
SP	Conchas	15473
SP	Cordeirópolis	19309
SP	Coroados	4881
SP	Coronel Macedo	5277
SP	Corumbataí	3935
SP	Cosmópolis	53561
SP	Cosmorama	6951
SP	Cotia	172823
SP	Cravinhos	29377
SP	Cristais Paulista	7005
SP	Cruzália	2368
SP	Cruzeiro	76098
SP	Cubatão	120271
SP	Cunha	22951
SP	Descalvado	29533
SP	Diadema	386779
SP	Dirce Reis	1582
SP	Divinolândia	11246
SP	Dobrada	7664
SP	Dois Córregos	24384
SP	Dolcinópolis	2181
SP	Dourado	8751
SP	Dracena	42107
SP	Duartina	12381
SP	Dumont	7557
SP	Echaporã	6247
SP	Eldorado	14038
SP	Elias Fausto	14521
SP	Elisiário	3024
SP	Embaúba	2391
SP	Embu	237318
SP	Embu-Guaçu	59083
SP	Emilianópolis	3021
SP	Engenheiro Coelho	12729
SP	Espírito Santo do Pinhal	40684
SP	Espírito Santo do Turvo	4103
SP	Estiva Gerbi	9185
SP	Estrela do Norte	2454
SP	Estrela d'Oeste	8590
SP	Euclides da Cunha Paulista	9923
SP	Fartura	14601
SP	Fernando Prestes	5212
SP	Fernandópolis	61392
SP	Fernão	1457
SP	Ferraz de Vasconcelos	168897
SP	Flora Rica	2019
SP	Floreal	2907
SP	Flórida Paulista	12660
SP	Florínia	2860
SP	Franca	319094
SP	Francisco Morato	146634
SP	Franco da Rocha	121451
SP	Gabriel Monteiro	2638
SP	Gália	6812
SP	Garça	42218
SP	Gastão Vidigal	3863
SP	Gavião Peixoto	4103
SP	General Salgado	10626
SP	Getulina	10515
SP	Glicério	4398
SP	Guaiçara	10357
SP	Guaimbê	4752
SP	Guaíra	36544
SP	Guapiaçu	16392
SP	Guapiara	20056
SP	Guará	18611
SP	Guaraçaí	8505
SP	Guaraci	9045
SP	Guarani d'Oeste	1963
SP	Guarantã	6410
SP	Guararapes	28662
SP	Guararema	24854
SP	Guaratinguetá	107895
SP	Guareí	13202
SP	Guariba	32664
SP	Guarujá	296150
SP	Guarulhos	1236192
SP	Guatapará	6217
SP	Guzolândia	4616
SP	Herculândia	8573
SP	Holambra	9111
SP	Hortolândia	190781
SP	Iacanga	9074
SP	Iacri	6677
SP	Iaras	4777
SP	Ibaté	28040
SP	Ibirá	10379
SP	Ibirarema	6617
SP	Ibitinga	49951
SP	Ibiúna	64832
SP	Icém	6429
SP	Iepê	7487
SP	Igaraçu do Tietê	23085
SP	Igarapava	26862
SP	Igaratá	8537
SP	Iguape	28977
SP	Ilha Comprida	8875
SP	Ilha Solteira	24181
SP	Ilhabela	23886
SP	Indaiatuba	173508
SP	Indiana	4682
SP	Indiaporã	3880
SP	Inúbia Paulista	3595
SP	Ipaussu	12964
SP	Iperó	24239
SP	Ipeúna	5164
SP	Ipiguá	3925
SP	Iporanga	4603
SP	Ipuã	14344
SP	Iracemápolis	18026
SP	Irapuã	6710
SP	Irapuru	7556
SP	Itaberá	17576
SP	Itaí	22617
SP	Itajobi	14182
SP	Itaju	2624
SP	Itanhaém	80778
SP	Itaóca	3087
SP	Itapecerica da Serra	148728
SP	Itapetininga	138450
SP	Itapeva	85537
SP	Itapevi	193686
SP	Itapira	68187
SP	Itapirapuã Paulista	3723
SP	Itápolis	38633
SP	Itaporanga	14284
SP	Itapuí	11605
SP	Itapura	3812
SP	Itaquaquecetuba	334914
SP	Itararé	48732
SP	Itariri	15115
SP	Itatiba	91479
SP	Itatinga	17570
SP	Itirapina	13889
SP	Itirapuã	5614
SP	Itobi	7444
SP	Itu	147251
SP	Itupeva	36766
SP	Ituverava	38539
SP	Jaborandi	6462
SP	Jaboticabal	69624
SP	Jacareí	207028
SP	Jaci	5008
SP	Jacupiranga	16112
SP	Jaguariúna	36804
SP	Jales	47649
SP	Jambeiro	4968
SP	Jandira	103578
SP	Jardinópolis	34611
SP	Jarinu	20611
SP	Jaú	125469
SP	Jeriquara	3153
SP	Joanópolis	10671
SP	João Ramalho	4092
SP	José Bonifácio	30639
SP	Júlio Mesquita	4318
SP	Jumirim	2205
SP	Jundiaí	342983
SP	Junqueirópolis	18628
SP	Juquiá	19352
SP	Juquitiba	27777
SP	Lagoinha	4798
SP	Laranjal Paulista	24454
SP	Lavínia	7984
SP	Lavrinhas	6543
SP	Leme	84406
SP	Lençóis Paulista	59366
SP	Limeira	272734
SP	Lindóia	5657
SP	Lins	69279
SP	Lorena	79317
SP	Lourdes	1974
SP	Louveira	29760
SP	Lucélia	19212
SP	Lucianópolis	2299
SP	Luís Antônio	10272
SP	Luiziânia	4763
SP	Lupércio	4238
SP	Lutécia	2794
SP	Macatuba	16173
SP	Macaubal	7396
SP	Macedônia	3411
SP	Magda	3154
SP	Mairinque	41508
SP	Mairiporã	71754
SP	Manduri	8651
SP	Marabá Paulista	5193
SP	Maracaí	13163
SP	Marapoama	2556
SP	Mariápolis	3786
SP	Marília	218113
SP	Marinópolis	2114
SP	Martinópolis	23983
SP	Matão	74407
SP	Mauá	402643
SP	Mendonça	3980
SP	Meridiano	3857
SP	Mesópolis	1768
SP	Miguelópolis	19972
SP	Mineiros do Tietê	11760
SP	Mira Estrela	2576
SP	Miracatu	22796
SP	Mirandópolis	25849
SP	Mirante do Paranapanema	17128
SP	Mirassol	51660
SP	Mirassolândia	4099
SP	Mococa	66086
SP	Mogi das Cruzes	362991
SP	Mogi Guaçu	131870
SP	Moji Mirim	84176
SP	Mombuca	3280
SP	Monções	2054
SP	Mongaguá	40423
SP	Monte Alegre do Sul	6957
SP	Monte Alto	44085
SP	Monte Aprazível	19745
SP	Monte Azul Paulista	19187
SP	Monte Castelo	4014
SP	Monte Mor	42824
SP	Monteiro Lobato	3994
SP	Morro Agudo	25390
SP	Morungaba	12007
SP	Motuca	4340
SP	Murutinga do Sul	4091
SP	Nantes	2483
SP	Narandiba	3941
SP	Natividade da Serra	7275
SP	Nazaré Paulista	14613
SP	Neves Paulista	8825
SP	Nhandeara	10334
SP	Nipoã	3762
SP	Nova Aliança	4905
SP	Nova Campina	8474
SP	Nova Canaã Paulista	2205
SP	Nova Castilho	1057
SP	Nova Europa	9047
SP	Nova Granada	17739
SP	Nova Guataporanga	2101
SP	Nova Independência	2480
SP	Nova Luzitânia	3403
SP	Nova Odessa	45625
SP	Novais	3661
SP	Novo Horizonte	34264
SP	Nuporanga	6629
SP	Ocauçu	4180
SP	Óleo	2714
SP	Olímpia	48020
SP	Onda Verde	3736
SP	Oriente	6079
SP	Orindiúva	4916
SP	Orlândia	36149
SP	Osasco	701012
SP	Oscar Bressane	2476
SP	Osvaldo Cruz	30150
SP	Ourinhos	98868
SP	Ouro Verde	7668
SP	Ouroeste	7035
SP	Pacaembu	13072
SP	Palestina	10428
SP	Palmares Paulista	10508
SP	Palmeira d'Oeste	9634
SP	Palmital	21298
SP	Panorama	13944
SP	Paraguaçu Paulista	42117
SP	Paraibuna	16456
SP	Paraíso	5559
SP	Paranapanema	16667
SP	Paranapuã	3614
SP	Parapuã	11029
SP	Pardinho	5030
SP	Pariquera-Açu	18079
SP	Parisi	2038
SP	Patrocínio Paulista	12183
SP	Paulicéia	5506
SP	Paulínia	73014
SP	Paulistânia	1824
SP	Paulo de Faria	8942
SP	Pederneiras	40270
SP	Pedra Bela	5835
SP	Pedranópolis	2734
SP	Pedregulho	15156
SP	Pedreira	38152
SP	Pedrinhas Paulista	2834
SP	Pedro de Toledo	9692
SP	Penápolis	56681
SP	Pereira Barreto	24220
SP	Pereiras	7347
SP	Peruíbe	54457
SP	Piacatu	5093
SP	Piedade	48430
SP	Pilar do Sul	26457
SP	Pindamonhangaba	135682
SP	Pindorama	14345
SP	Pinhalzinho	11817
SP	Piquerobi	3599
SP	Piquete	14475
SP	Piracaia	22335
SP	Piracicaba	358108
SP	Piraju	28228
SP	Pirajuí	21035
SP	Pirangi	10315
SP	Pirapora do Bom Jesus	14370
SP	Pirapozinho	23709
SP	Pirassununga	67787
SP	Piratininga	11287
SP	Pitangueiras	33329
SP	Planalto	4014
SP	Platina	3167
SP	Poá	104904
SP	Poloni	4880
SP	Pompéia	19091
SP	Pongaí	3473
SP	Pontal	35560
SP	Pontalinda	3906
SP	Pontes Gestal	2487
SP	Populina	4201
SP	Porangaba	8069
SP	Porto Feliz	46054
SP	Porto Ferreira	48760
SP	Potim	18143
SP	Potirendaba	14327
SP	Pracinha	2667
SP	Pradópolis	15148
SP	Praia Grande	233806
SP	Pratânia	4309
SP	Presidente Alves	4346
SP	Presidente Bernardes	14788
SP	Presidente Epitácio	39403
SP	Presidente Prudente	202789
SP	Presidente Venceslau	37155
SP	Promissão	34786
SP	Quadra	2679
SP	Quatá	11971
SP	Queiroz	2603
SP	Queluz	10323
SP	Quintana	5654
SP	Rafard	8151
SP	Rancharia	28303
SP	Redenção da Serra	4081
SP	Regente Feijó	17070
SP	Reginópolis	6993
SP	Registro	53369
SP	Restinga	6350
SP	Ribeira	3444
SP	Ribeirão Bonito	11383
SP	Ribeirão Branco	18879
SP	Ribeirão Corrente	4014
SP	Ribeirão do Sul	4497
SP	Ribeirão dos Índios	2231
SP	Ribeirão Grande	6928
SP	Ribeirão Pires	107046
SP	Ribeirão Preto	547417
SP	Rifaina	3587
SP	Rincão	10425
SP	Rinópolis	9393
SP	Rio Claro	185421
SP	Rio das Pedras	26344
SP	Rio Grande da Serra	39270
SP	Riolândia	9713
SP	Riversul	6545
SP	Rosana	19943
SP	Roseira	9016
SP	Rubiácea	2501
SP	Rubinéia	2546
SP	Sabino	5150
SP	Sagres	2307
SP	Sales	5025
SP	Sales Oliveira	8187
SP	Salesópolis	15157
SP	Salmourão	4551
SP	Saltinho	6586
SP	Salto	102311
SP	Salto de Pirapora	37324
SP	Salto Grande	8592
SP	Sandovalina	3217
SP	Santa Adélia	13861
SP	Santa Albertina	5042
SP	Santa Bárbara d'Oeste	184318
SP	Santa Branca	13282
SP	Santa Clara d'Oeste	2081
SP	Santa Cruz da Conceição	3872
SP	Santa Cruz da Esperança	1707
SP	Santa Cruz das Palmeiras	30458
SP	Santa Cruz do Rio Pardo	41655
SP	Santa Ernestina	5510
SP	Santa Fé do Sul	27693
SP	Santa Gertrudes	19044
SP	Santa Isabel	44817
SP	Santa Lúcia	7862
SP	Santa Maria da Serra	5417
SP	Santa Mercedes	2589
SP	Santa Rita do Passa Quatro	26456
SP	Santa Rita d'Oeste	2493
SP	Santa Rosa de Viterbo	22699
SP	Santa Salete	1390
SP	Santana da Ponte Pensa	1654
SP	Santana de Parnaíba	100189
SP	Santo Anastácio	20550
SP	Santo André	667891
SP	Santo Antônio da Alegria	6020
SP	Santo Antônio de Posse	19824
SP	Santo Antônio do Aracanguá	7034
SP	Santo Antônio do Jardim	5743
SP	Santo Antônio do Pinhal	6560
SP	Santo Expedito	2759
SP	Santópolis do Aguapeí	4008
SP	Santos	418288
SP	São Bento do Sapucaí	10515
SP	São Bernardo do Campo	781390
SP	São Caetano do Sul	144857
SP	São Carlos	212956
SP	São Francisco	2812
SP	São João da Boa Vista	79935
SP	São João das Duas Pontes	2571
SP	São João de Iracema	1725
SP	São João do Pau d'Alho	2132
SP	São Joaquim da Barra	43703
SP	São José da Bela Vista	8173
SP	São José do Barreiro	4278
SP	São José do Rio Pardo	51023
SP	São José do Rio Preto	402770
SP	São José dos Campos	594948
SP	São Lourenço da Serra	16121
SP	São Luís do Paraitinga	10496
SP	São Manuel	37797
SP	São Miguel Arcanjo	30384
SP	São Paulo	10886518
SP	São Pedro	29733
SP	São Pedro do Turvo	7094
SP	São Roque	65693
SP	São Sebastião	67348
SP	São Sebastião da Grama	12509
SP	São Simão	13781
SP	São Vicente	323599
SP	Sarapuí	8158
SP	Sarutaiá	3680
SP	Sebastianópolis do Sul	2871
SP	Serra Azul	9107
SP	Serra Negra	24671
SP	Serrana	36596
SP	Sertãozinho	103558
SP	Sete Barras	12975
SP	Severínia	14713
SP	Silveiras	5562
SP	Socorro	33080
SP	Sorocaba	559157
SP	Sud Mennucci	7714
SP	Sumaré	228696
SP	Suzanápolis	3421
SP	Suzano	268777
SP	Tabapuã	11255
SP	Tabatinga	13965
SP	Taboão da Serra	219200
SP	Taciba	5402
SP	Taguaí	9616
SP	Taiaçu	5804
SP	Taiúva	5366
SP	Tambaú	21913
SP	Tanabi	23400
SP	Tapiraí	7953
SP	Tapiratiba	12246
SP	Taquaral	2827
SP	Taquaritinga	53232
SP	Taquarituba	22170
SP	Taquarivaí	5098
SP	Tarabai	6108
SP	Tarumã	12302
SP	Tatuí	101838
SP	Taubaté	265514
SP	Tejupá	5015
SP	Teodoro Sampaio	20325
SP	Terra Roxa	8155
SP	Tietê	34018
SP	Timburi	2535
SP	Torre de Pedra	2784
SP	Torrinha	8918
SP	Trabiju	1441
SP	Tremembé	38321
SP	Três Fronteiras	5031
SP	Tuiuti	5749
SP	Tupã	62256
SP	Tupi Paulista	13712
SP	Turiúba	1947
SP	Turmalina	2024
SP	Ubarana	4552
SP	Ubatuba	75008
SP	Ubirajara	4269
SP	Uchoa	9348
SP	União Paulista	1436
SP	Urânia	8727
SP	Uru	1362
SP	Urupês	11917
SP	Valentim Gentil	9408
SP	Valinhos	97814
SP	Valparaíso	20827
SP	Vargem	6883
SP	Vargem Grande do Sul	37357
SP	Vargem Grande Paulista	40200
SP	Várzea Paulista	100406
SP	Vera Cruz	10020
SP	Vinhedo	57435
SP	Viradouro	17043
SP	Vista Alegre do Alto	6100
SP	Vitória Brasil	1624
SP	Votorantim	99901
SP	Votuporanga	77622
SP	Zacarias	2229
PR	Abatiá	7791
PR	Adrianópolis	6709
PR	Agudos do Sul	8192
PR	Almirante Tamandaré	93055
PR	Altamira do Paraná	4369
PR	Alto Paraíso	3252
PR	Alto Paraná	12936
PR	Alto Piquiri	10210
PR	Altônia	19904
PR	Alvorada do Sul	9014
PR	Amaporã	5140
PR	Ampére	17067
PR	Anahy	2868
PR	Andirá	21330
PR	Ângulo	2807
PR	Antonina	17581
PR	Antônio Olinto	7477
PR	Apucarana	115323
PR	Arapongas	96669
PR	Arapoti	25645
PR	Arapuã	3945
PR	Araruna	12650
PR	Araucária	109943
PR	Ariranha do Ivaí	2540
PR	Assaí	16098
PR	Assis Chateaubriand	32226
PR	Astorga	24191
PR	Atalaia	3627
PR	Balsa Nova	10639
PR	Bandeirantes	32290
PR	Barbosa Ferraz	13655
PR	Barra do Jacaré	2757
PR	Barracão	9027
PR	Bela Vista da Caroba	4136
PR	Bela Vista do Paraíso	14996
PR	Bituruna	16142
PR	Boa Esperança	4706
PR	Boa Esperança do Iguaçu	2866
PR	Boa Ventura de São Roque	6744
PR	Boa Vista da Aparecida	7818
PR	Bocaiúva do Sul	9533
PR	Bom Jesus do Sul	3835
PR	Bom Sucesso	6397
PR	Bom Sucesso do Sul	3061
PR	Borrazópolis	8275
PR	Braganey	6044
PR	Brasilândia do Sul	3306
PR	Cafeara	2702
PR	Cafelândia	13065
PR	Cafezal do Sul	4271
PR	Califórnia	7546
PR	Cambará	23956
PR	Cambé	92888
PR	Cambira	6862
PR	Campina da Lagoa	15983
PR	Campina do Simão	4180
PR	Campina Grande do Sul	35396
PR	Campo Bonito	4426
PR	Campo do Tenente	6461
PR	Campo Largo	105492
PR	Campo Magro	22325
PR	Campo Mourão	82530
PR	Cândido de Abreu	17775
PR	Candói	15412
PR	Cantagalo	12418
PR	Capanema	18103
PR	Capitão Leônidas Marques	13616
PR	Carambeí	16521
PR	Carlópolis	13170
PR	Cascavel	285784
PR	Castro	65363
PR	Catanduvas	9578
PR	Centenário do Sul	11247
PR	Cerro Azul	17693
PR	Céu Azul	10914
PR	Chopinzinho	19224
PR	Cianorte	64498
PR	Cidade Gaúcha	10468
PR	Clevelândia	17599
PR	Colombo	233916
PR	Colorado	21049
PR	Congonhinhas	8552
PR	Conselheiro Mairinck	3554
PR	Contenda	14800
PR	Corbélia	15428
PR	Cornélio Procópio	46931
PR	Coronel Domingos Soares	7480
PR	Coronel Vivida	21571
PR	Corumbataí do Sul	4262
PR	Cruz Machado	18329
PR	Cruzeiro do Iguaçu	4150
PR	Cruzeiro do Oeste	20182
PR	Cruzeiro do Sul	4493
PR	Cruzmaltina	3116
PR	Curitiba	1797408
PR	Curiúva	14338
PR	Diamante do Norte	5611
PR	Diamante do Sul	3665
PR	Diamante D'Oeste	4944
PR	Dois Vizinhos	34001
PR	Douradina	6530
PR	Doutor Camargo	5609
PR	Doutor Ulysses	5956
